id,carat,cut,color,clarity,depth,table,x,y,z,price
18653,0.38,Ideal,E,VS2,61.5,56.0,4.67,4.71,2.88,870
30638,1.05,Premium,E,VS2,62.0,62.0,6.47,6.5,4.02,6333
2346,0.71,Very Good,J,SI1,63.3,59.0,5.63,5.69,3.58,1871
15396,0.7,Ideal,I,VS1,62.0,58.0,5.67,5.71,3.53,2154
21645,1.24,Ideal,H,VS2,60.4,57.0,6.98,7.02,4.22,7294
18627,0.31,Ideal,G,IF,62.1,56.0,4.35,4.38,2.71,760
3740,1.01,Very Good,D,SI2,63.2,58.0,6.34,6.37,4.02,4724
17793,0.3,Ideal,E,VS2,62.6,56.0,4.28,4.31,2.69,603
18774,0.41,Ideal,E,VVS1,61.7,56.0,4.78,4.77,2.95,1059
14403,0.32,Premium,G,VVS1,61.2,59.0,4.36,4.4,2.68,842
5160,1.24,Premium,H,VVS1,62.3,59.0,6.89,6.84,4.28,9720
23036,0.51,Ideal,H,VS1,62.2,55.0,5.13,5.15,3.2,1449
26327,0.31,Ideal,H,VVS2,62.6,57.0,4.3,4.32,2.7,645
24064,0.33,Ideal,E,VVS1,61.7,55.0,4.46,4.48,2.76,1020
10309,0.5,Ideal,E,SI1,61.4,57.0,5.09,5.11,3.14,1547
17878,0.34,Ideal,H,VS2,61.7,55.0,4.47,4.52,2.78,589
16257,0.25,Ideal,F,IF,61.9,55.0,4.06,4.07,2.52,740
2019,1.03,Very Good,I,SI2,62.9,59.0,6.38,6.4,4.02,3924
26582,1.02,Very Good,H,VVS1,62.9,59.0,6.42,6.37,4.02,8150
13489,1.12,Premium,G,VS1,60.2,58.0,6.82,6.77,4.08,8442
25968,0.77,Good,E,SI1,62.8,58.0,5.78,5.86,3.66,3226
14389,0.31,Ideal,H,VS1,61.1,55.0,4.37,4.4,2.68,544
25272,0.7,Premium,F,SI1,62.4,59.0,5.67,5.71,3.56,2351
11712,0.51,Ideal,D,VS2,62.5,55.0,5.12,5.15,3.21,1845
14407,0.9,Ideal,D,VS2,62.3,56.0,6.15,6.19,3.85,5410
12149,0.54,Premium,H,SI1,61.8,59.0,5.23,5.2,3.23,1154
5788,0.72,Ideal,F,SI2,62.1,56.0,5.72,5.7,3.55,2873
29912,0.4,Premium,E,VS2,61.9,58.0,4.74,4.71,2.92,1024
9220,1.34,Premium,H,SI2,62.9,59.0,7.02,7.06,4.42,7391
15515,0.33,Ideal,E,VVS1,61.8,56.0,4.42,4.45,2.74,838
27274,1.0,Ideal,D,SI1,63.0,58.0,6.43,6.38,4.03,5600
17981,0.5,Very Good,E,SI1,58.8,63.0,5.22,5.17,3.05,1318
9975,0.51,Fair,F,SI1,66.7,55.0,4.85,4.72,2.96,1064
27334,0.4,Ideal,G,VS2,62.2,54.0,4.73,4.76,2.95,825
10521,0.7,Very Good,H,VS1,63.3,58.0,5.65,5.62,3.58,2579
4147,1.5,Good,F,SI2,59.2,61.0,7.32,7.42,4.36,8064
16981,0.31,Ideal,H,IF,61.8,54.2,4.36,4.38,2.7,783
7340,2.01,Premium,H,SI1,60.1,58.0,8.18,8.13,4.89,15238
13765,0.53,Very Good,F,SI2,63.2,58.0,5.12,5.16,3.24,1142
11401,0.31,Ideal,H,IF,61.5,56.0,4.37,4.39,2.7,755
24516,0.72,Good,G,VVS2,63.7,57.0,5.64,5.69,3.61,3124
19237,0.41,Premium,E,SI1,60.9,60.0,4.81,4.77,2.92,969
21603,0.43,Premium,I,VVS2,62.7,58.0,4.82,4.78,3.0,847
7472,1.01,Very Good,G,I1,60.3,58.0,6.47,6.44,3.9,3541
19681,0.41,Premium,D,SI1,59.7,60.0,4.81,4.85,2.88,993
14147,0.71,Ideal,F,VS1,62.0,56.0,5.69,5.65,3.52,3701
20568,1.83,Very Good,I,SI2,62.0,56.0,7.81,7.9,4.89,11588
11553,1.59,Very Good,J,VS1,63.3,57.0,7.39,7.45,4.71,9354
9576,0.72,Premium,E,SI1,62.6,62.0,5.72,5.68,3.57,2822
30527,1.24,Ideal,E,SI1,61.9,56.0,6.92,6.88,4.27,7946
25300,1.0,Good,D,SI2,63.8,59.0,6.32,6.34,4.05,4692
8796,0.43,Ideal,H,VS1,62.0,57.0,4.81,4.84,2.99,905
26968,2.01,Ideal,I,SI2,61.8,57.0,8.08,8.13,5.01,12257
10752,0.31,Ideal,F,VS2,62.6,55.0,4.32,4.34,2.71,625
26483,1.2,Ideal,H,SI1,62.1,56.0,6.79,6.84,4.23,5973
3353,1.21,Very Good,I,SI1,61.9,56.0,6.77,6.81,4.23,5688
27856,0.3,Premium,H,SI1,62.6,57.0,4.35,4.27,2.7,554
12002,0.34,Very Good,G,VVS2,62.9,56.0,4.43,4.46,2.8,995
8637,1.21,Ideal,H,SI1,62.4,54.0,6.8,6.8,4.24,6250
5845,0.9,Premium,H,VS2,62.9,61.0,6.16,6.12,3.85,3922
4250,0.42,Ideal,J,IF,61.9,56.0,4.78,4.81,2.97,998
3010,0.34,Premium,E,SI2,59.3,60.0,4.58,4.61,2.72,477
2814,0.54,Very Good,E,VS2,61.2,58.0,5.24,5.21,3.2,1637
29706,1.23,Premium,J,VS1,62.0,60.0,6.82,6.87,4.23,5488
15005,0.29,Ideal,F,VVS1,60.7,57.0,4.29,4.32,2.61,598
29481,0.57,Ideal,E,SI2,61.6,57.0,5.32,5.28,3.26,1249
4154,0.81,Ideal,G,SI1,61.3,57.0,6.04,5.99,3.69,3564
1607,0.52,Ideal,F,VS1,61.0,55.0,5.19,5.22,3.18,1709
3880,1.01,Very Good,G,VS2,60.7,57.0,6.48,6.53,3.94,5839
18005,0.5,Ideal,E,VS2,62.0,57.0,5.08,5.11,3.15,1665
31547,0.61,Very Good,H,VVS2,61.7,57.0,5.39,5.48,3.35,2180
10928,0.5,Good,E,VS2,61.1,62.2,5.05,5.09,3.1,1429
2436,0.43,Ideal,G,VS1,61.9,54.0,4.85,4.87,3.01,1005
18203,1.5,Fair,E,SI2,65.0,59.0,7.24,7.09,4.62,7503
15482,0.31,Ideal,E,VVS2,61.9,56.0,4.34,4.36,2.69,759
16575,0.41,Premium,D,SI1,61.0,58.0,4.84,4.79,2.94,830
29430,0.5,Ideal,F,VS2,61.8,57.0,5.09,5.12,3.16,1436
18280,0.71,Premium,H,VS1,62.8,59.0,5.67,5.7,3.58,2749
15356,0.3,Premium,H,VS2,62.1,60.0,4.3,4.26,2.66,608
27859,1.01,Ideal,F,VVS1,62.3,56.0,6.41,6.43,4.0,9526
18872,1.11,Ideal,H,SI2,62.1,57.0,6.66,6.59,4.12,4676
3042,0.91,Very Good,F,VS1,63.5,59.0,6.13,6.09,3.89,4436
21017,0.73,Very Good,G,VS1,60.2,58.0,5.82,5.85,3.51,2839
13653,0.41,Very Good,D,VS1,63.5,58.0,4.61,4.68,2.96,947
3597,0.3,Very Good,H,VVS1,63.7,58.0,4.26,4.22,2.7,965
17477,1.02,Very Good,D,SI1,61.2,57.0,6.43,6.47,3.95,6023
12392,0.54,Ideal,H,SI1,60.9,55.0,5.25,5.28,3.21,1138
6136,2.03,Good,D,SI2,59.0,60.0,8.27,8.19,4.85,18640
22006,0.23,Ideal,E,SI2,61.2,55.0,3.95,3.98,2.43,326
1584,1.2,Premium,I,VS2,62.5,57.6,6.8,6.77,4.24,5001
6579,0.76,Premium,H,SI1,60.2,59.0,5.96,5.93,3.57,2628
5990,1.0,Ideal,D,SI1,62.4,55.0,6.44,6.38,4.0,5698
17426,0.32,Premium,G,VS2,62.7,58.0,4.37,4.33,2.73,561
16309,0.35,Very Good,E,VS2,61.1,58.0,4.55,4.58,2.79,717
2665,0.52,Premium,E,SI2,61.5,59.0,5.12,5.16,3.16,1135
31207,0.4,Ideal,I,VS2,62.8,56.0,4.68,4.7,2.94,639
9892,1.02,Premium,I,SI2,62.1,58.0,6.48,6.44,4.01,3856
11749,2.01,Premium,D,SI2,58.6,62.0,8.26,8.19,4.82,17674
26951,0.72,Ideal,G,VS2,61.9,57.0,5.75,5.78,3.58,2725
29541,1.34,Ideal,D,SI1,62.7,55.0,7.05,7.03,4.42,9489
8099,0.29,Ideal,E,VVS1,62.6,55.0,4.23,4.2,2.64,799
16902,0.41,Ideal,F,VS1,61.3,56.0,4.8,4.82,2.95,1007
1798,0.72,Ideal,G,VVS2,61.5,57.0,5.75,5.78,3.55,2993
16009,1.02,Very Good,E,SI2,63.2,58.0,6.43,6.4,4.05,4498
26171,0.3,Ideal,D,VS2,61.1,57.0,4.35,4.32,2.65,911
12044,1.0,Premium,E,VS2,61.4,58.0,6.42,6.46,3.94,7308
25803,0.77,Ideal,D,SI2,61.0,57.0,5.92,5.95,3.63,3001
25303,2.01,Very Good,E,SI1,61.8,55.0,8.14,8.17,5.02,18557
14318,2.01,Premium,H,SI2,60.0,61.0,8.14,8.07,4.86,17186
27987,1.0,Good,H,VVS2,63.6,58.0,6.3,6.33,4.02,9138
15438,0.51,Premium,E,VS2,62.1,58.0,5.11,5.13,3.18,1561
857,0.7,Premium,G,VS1,60.8,57.0,5.78,5.8,3.52,2535
31424,1.0,Very Good,F,SI1,62.2,57.0,6.35,6.39,3.96,4643
11055,1.5,Ideal,F,VS2,61.8,56.0,7.39,7.31,4.53,15223
27663,0.9,Very Good,F,SI1,62.0,56.0,6.19,6.17,3.83,4050
27814,0.33,Ideal,E,SI1,62.3,54.0,4.41,4.43,2.75,579
12814,0.32,Ideal,F,VVS2,60.8,56.0,4.42,4.39,2.68,945
26861,1.02,Very Good,F,VS1,63.2,56.0,6.36,6.43,4.04,7495
16010,1.5,Premium,F,SI2,62.4,58.0,7.27,7.25,4.54,7955
3668,0.71,Ideal,H,VS1,62.3,56.0,5.73,5.76,3.57,3091
2458,0.4,Ideal,E,SI2,61.5,56.0,4.74,4.78,2.92,641
27908,1.01,Premium,G,VS1,59.3,60.0,6.51,6.54,3.86,6632
24403,1.02,Ideal,D,SI2,61.9,55.0,6.47,6.43,3.99,5648
1449,0.9,Very Good,G,VS1,62.8,57.0,6.12,6.15,3.86,4508
9828,0.7,Very Good,G,SI1,61.9,55.0,5.66,5.66,3.51,2155
9629,0.73,Very Good,G,VS1,60.9,57.0,5.76,5.84,3.53,3127
31190,1.62,Ideal,G,VS2,62.3,55.0,7.47,7.51,4.67,14673
8326,0.8,Ideal,F,SI1,61.3,55.0,5.96,6.0,3.67,3397
24668,0.42,Ideal,G,VVS2,62.3,55.0,4.82,4.77,2.99,1129
19016,0.44,Ideal,H,IF,62.2,54.0,4.89,4.93,3.03,1257
12148,0.31,Ideal,G,VVS2,61.5,55.0,4.39,4.41,2.7,706
7168,1.11,Ideal,H,SI1,61.8,57.0,6.63,6.66,4.11,5204
20423,1.2,Ideal,H,SI2,62.2,56.0,6.78,6.82,4.23,5538
15862,0.57,Ideal,D,VS1,61.8,55.0,5.38,5.33,3.31,1924
12493,0.7,Very Good,F,SI1,61.2,60.0,5.68,5.73,3.48,2320
15821,0.7,Very Good,I,VS1,61.0,57.0,5.73,5.76,3.5,2261
8630,0.32,Ideal,F,SI1,61.9,56.0,4.39,4.4,2.72,641
20273,0.54,Ideal,D,VS1,62.0,56.0,5.24,5.21,3.24,2157
5420,0.41,Ideal,D,VVS1,62.0,55.0,4.77,4.81,2.97,1569
29920,1.02,Premium,E,SI2,59.4,62.0,6.6,6.56,3.91,3768
6726,1.53,Very Good,F,SI1,63.2,56.0,7.27,7.32,4.61,12971
29587,0.53,Ideal,E,SI2,61.4,55.0,5.23,5.27,3.22,1232
28415,0.5,Very Good,E,VS2,62.8,56.0,4.98,5.03,3.14,1601
2300,0.37,Premium,F,SI2,61.6,58.0,4.59,4.62,2.84,511
21898,0.9,Premium,F,SI2,61.7,58.0,6.18,6.21,3.82,4011
8751,0.34,Ideal,F,VS2,62.5,55.0,4.49,4.48,2.8,880
19920,1.59,Ideal,G,VS2,60.9,57.0,7.54,7.57,4.59,16087
15228,0.33,Ideal,E,VVS1,60.7,55.0,4.5,4.45,2.73,905
24261,0.76,Premium,F,SI2,61.3,60.0,5.8,5.84,3.57,2670
18817,3.04,Very Good,J,SI2,63.1,56.0,9.36,9.31,5.75,15354
5167,0.31,Ideal,G,VS1,62.0,55.0,4.39,4.36,2.71,802
22746,0.54,Ideal,G,VS1,61.9,56.0,5.22,5.25,3.25,1764
23447,0.42,Very Good,E,SI1,60.9,60.0,4.83,4.86,2.94,796
24711,1.0,Good,D,VS2,63.3,59.0,6.34,6.36,4.02,7096
25119,0.3,Ideal,D,VS1,61.0,56.0,4.33,4.35,2.65,848
10517,1.0,Ideal,F,VVS2,59.9,57.0,6.52,6.56,3.91,8415
3957,0.41,Premium,F,VVS2,60.7,59.0,4.82,4.78,2.91,1192
8756,1.01,Fair,F,SI2,65.8,54.0,6.24,6.27,4.09,4446
10974,1.11,Premium,D,VS2,62.2,58.0,6.66,6.62,4.13,8181
29191,0.71,Ideal,F,SI1,60.1,57.0,5.78,5.81,3.49,2329
8342,0.9,Fair,F,SI2,65.2,59.0,6.06,5.99,3.96,2757
17648,0.72,Ideal,F,SI2,61.2,56.0,5.78,5.81,3.55,2262
13832,1.01,Premium,F,VS1,62.5,59.0,6.39,6.36,3.98,7262
15449,1.0,Premium,D,SI1,62.1,59.0,6.46,6.34,3.98,5305
8322,1.54,Ideal,G,SI1,62.0,56.0,7.41,7.45,4.61,11868
26214,0.56,Ideal,E,VS2,61.6,56.0,5.26,5.28,3.25,1741
8753,1.0,Very Good,I,VS2,63.5,59.0,6.3,6.35,4.01,4424
16724,0.33,Ideal,G,VS2,61.4,57.0,4.45,4.43,2.73,546
29221,1.0,Ideal,E,SI2,62.8,55.0,6.34,6.38,4.0,4580
27720,0.4,Very Good,H,VS1,59.1,61.0,4.81,4.84,2.85,725
22457,0.31,Ideal,G,VS2,61.2,56.0,4.4,4.43,2.7,544
13455,1.09,Premium,E,SI1,61.3,59.0,6.63,6.58,4.05,5257
17308,1.0,Premium,D,SI2,62.1,58.0,6.39,6.36,3.96,4136
19808,0.9,Good,G,SI1,63.6,59.0,6.12,6.09,3.88,3734
16075,1.56,Ideal,I,SI1,60.8,59.0,7.53,7.49,4.56,8431
2178,0.3,Very Good,F,SI2,60.5,61.0,4.28,4.33,2.6,394
7959,0.35,Ideal,D,SI2,61.9,56.0,4.51,4.54,2.8,631
8265,1.55,Ideal,H,VS1,61.8,56.0,7.45,7.42,4.59,12987
18561,1.16,Very Good,H,SI2,62.9,56.0,6.61,6.66,4.18,4770
6303,1.0,Ideal,G,VVS1,62.3,56.0,6.41,6.43,4.0,8020
19011,0.7,Good,G,SI1,63.9,58.0,5.66,5.57,3.58,2320
10218,0.3,Ideal,G,SI1,61.9,55.0,4.29,4.33,2.67,574
31420,0.42,Ideal,G,VS1,61.7,55.0,4.84,4.79,2.97,921
19673,1.38,Ideal,J,SI1,61.6,57.0,7.14,7.17,4.41,4940
5441,0.3,Ideal,E,VS2,61.4,56.0,4.31,4.28,2.63,844
2919,0.52,Ideal,E,SI1,63.2,54.0,5.12,5.15,3.25,1376
11909,0.32,Ideal,D,VVS2,61.3,56.0,4.42,4.46,2.72,914
12104,0.51,Very Good,F,SI1,62.9,57.0,5.08,5.11,3.21,1424
13647,0.31,Premium,G,VS2,61.9,58.0,4.37,4.29,2.68,743
6106,0.32,Ideal,F,VVS1,61.6,55.0,4.41,4.43,2.72,893
30119,0.33,Ideal,E,VS2,61.8,56.0,4.42,4.45,2.74,695
3561,2.02,Premium,I,SI2,59.4,59.0,8.21,8.25,4.89,14211
15627,0.54,Ideal,G,VVS1,60.4,56.0,5.32,5.34,3.22,2177
3544,0.3,Very Good,F,VS1,61.6,58.0,4.26,4.32,2.64,605
23506,1.11,Ideal,I,VS2,60.9,54.0,6.65,6.7,4.07,5518
15082,1.01,Very Good,G,VS1,62.8,57.0,6.37,6.41,4.01,6494
23028,0.73,Ideal,E,VS2,61.4,55.0,5.77,5.82,3.56,3437
4763,1.04,Premium,J,SI1,61.5,58.0,6.51,6.56,4.01,4435
5565,0.41,Ideal,F,VVS2,61.0,55.0,4.84,4.81,2.95,1227
5998,1.0,Good,E,SI1,62.1,64.0,6.29,6.36,3.93,4484
31366,0.53,Ideal,D,VS2,61.9,56.0,5.19,5.22,3.22,1963
2920,0.38,Ideal,G,VS1,61.1,56.0,4.69,4.72,2.88,983
4952,0.32,Premium,D,VVS2,61.1,59.0,4.39,4.43,2.7,842
30039,0.6,Premium,E,SI1,62.7,58.0,5.35,5.39,3.36,1787
5834,1.52,Premium,H,SI1,59.4,59.0,7.52,7.47,4.44,10666
18073,2.02,Premium,G,SI2,62.3,59.0,8.03,7.98,4.99,14294
22572,2.21,Ideal,H,SI2,62.0,56.0,8.38,8.34,5.18,15134
30715,1.21,Ideal,F,VS2,62.4,56.0,6.8,6.83,4.25,8654
4072,1.0,Ideal,G,VS2,62.5,57.0,6.29,6.35,3.94,5774
12789,2.07,Premium,J,SI1,62.4,58.0,8.13,8.1,5.07,11869
26447,1.26,Premium,F,VS1,61.5,59.0,6.83,6.91,4.23,10286
15458,0.52,Ideal,G,VS2,62.2,55.0,5.11,5.14,3.19,1605
16472,1.03,Ideal,E,SI2,61.2,57.0,6.49,6.55,3.99,5055
28014,1.21,Ideal,F,VS2,62.7,55.0,6.79,6.75,4.25,8213
16263,0.4,Ideal,E,VS1,61.9,57.0,4.73,4.75,2.93,1103
15879,0.53,Premium,F,VS2,61.2,58.0,5.2,5.23,3.2,1837
10031,0.71,Premium,D,VS2,62.4,59.0,5.7,5.64,3.54,2840
4946,1.01,Ideal,E,VVS2,62.7,56.0,6.34,6.46,4.01,9132
21466,0.9,Premium,F,SI1,63.0,59.0,6.15,6.1,3.86,3992
26841,0.31,Ideal,G,SI2,62.2,54.0,4.34,4.37,2.71,433
10096,0.3,Premium,D,SI1,60.2,58.0,4.36,4.35,2.62,552
29269,0.32,Ideal,H,VS1,62.0,57.0,4.41,4.37,2.72,524
26782,0.36,Ideal,E,VVS1,61.1,56.0,4.64,4.64,2.83,1014
5704,1.29,Good,D,VS2,63.7,58.0,6.89,6.82,4.35,9257
26878,0.33,Ideal,D,SI1,62.6,54.0,4.45,4.41,2.77,719
2090,1.04,Ideal,G,SI2,61.9,56.0,6.51,6.46,4.03,4442
29164,0.91,Very Good,H,VS2,62.3,58.0,6.1,6.14,3.81,4259
20549,2.07,Ideal,G,SI1,62.7,57.0,8.09,8.16,5.09,18736
31198,0.45,Premium,E,SI1,61.6,61.0,4.9,4.86,3.01,1250
12645,1.51,Ideal,I,SI1,61.6,57.0,7.36,7.4,4.53,8774
10375,0.4,Ideal,D,VS1,60.9,56.0,4.75,4.78,2.9,1123
20598,0.9,Premium,G,SI2,58.8,59.0,6.34,6.3,3.72,4164
26935,0.4,Ideal,F,VS1,61.4,55.0,4.73,4.79,2.92,982
30401,1.15,Ideal,H,SI1,62.1,57.0,6.7,6.69,4.16,5533
26550,0.3,Premium,I,VS1,62.9,59.0,4.28,4.23,2.68,473
28749,0.83,Ideal,G,SI1,62.2,55.0,6.01,6.03,3.75,3299
28324,1.23,Premium,G,SI1,60.9,60.0,6.92,6.85,4.19,6436
26288,0.54,Ideal,F,VVS2,61.0,56.0,5.26,5.3,3.22,2240
2766,1.2,Ideal,I,VS1,60.8,55.0,6.9,6.84,4.18,5598
26657,1.28,Premium,H,SI2,61.0,59.0,7.02,6.96,4.26,5771
7057,0.86,Premium,G,SI2,61.5,57.0,6.16,6.13,3.78,2886
355,1.65,Premium,G,SI2,61.3,59.0,7.59,7.55,4.66,10789
13332,0.51,Ideal,G,VS2,60.4,56.0,5.19,5.19,3.13,1587
2053,0.4,Premium,E,VS1,61.3,60.0,4.77,4.71,2.91,1125
16601,0.34,Ideal,I,SI1,61.0,57.0,4.51,4.54,2.76,459
8729,0.3,Ideal,H,VVS1,60.8,56.0,4.37,4.35,2.65,837
29599,0.31,Premium,F,VS2,62.4,59.0,4.35,4.33,2.71,802
11344,0.9,Ideal,G,VVS2,63.0,57.0,6.12,6.17,3.87,5701
11741,0.3,Premium,G,VS1,61.7,58.0,4.28,4.31,2.65,776
27121,0.55,Ideal,E,SI2,61.1,56.0,5.27,5.32,3.25,1314
24665,0.7,Ideal,D,SI1,62.1,56.0,5.69,5.74,3.55,3332
7876,0.9,Good,H,SI1,63.4,59.0,6.12,6.09,3.89,3459
30752,0.72,Premium,H,VVS1,61.6,59.0,5.75,5.72,3.53,2919
9546,1.0,Very Good,D,SI1,62.2,60.0,6.34,6.37,3.96,5219
5454,1.7,Premium,H,SI2,60.5,59.0,7.78,7.73,4.68,10581
28899,1.01,Ideal,J,VS1,61.3,56.0,6.43,6.46,3.95,4072
14827,0.55,Very Good,E,SI1,59.2,62.0,5.36,5.44,3.18,1390
20930,0.74,Very Good,F,SI2,60.3,58.0,5.82,5.85,3.52,2462
4711,2.05,Ideal,H,SI2,61.7,56.0,8.18,8.13,5.02,16469
16522,1.06,Ideal,G,VS2,60.9,58.0,6.58,6.54,3.99,7098
21474,1.21,Ideal,F,VS1,62.0,57.0,6.79,6.84,4.24,9882
13962,1.2,Ideal,G,SI1,62.6,55.0,6.74,6.77,4.22,6199
12638,0.72,Ideal,D,VS2,62.6,54.0,5.71,5.74,3.58,3140
29099,1.06,Premium,E,SI2,61.8,57.0,6.53,6.58,4.06,4480
16285,0.71,Ideal,D,VS2,61.3,56.0,5.77,5.79,3.54,3534
16573,1.01,Good,G,SI1,63.1,60.0,6.34,6.36,4.01,4672
2187,0.5,Premium,E,VS2,60.7,61.0,5.16,5.13,3.11,1624
868,0.43,Ideal,F,VS2,62.5,56.0,4.81,4.85,3.02,884
8904,0.6,Ideal,G,VS2,61.9,55.0,5.41,5.43,3.35,1667
8005,0.33,Ideal,E,VVS1,61.4,55.0,4.45,4.48,2.74,974
7165,1.51,Premium,G,VS2,60.4,59.0,7.37,7.34,4.44,13214
14143,0.71,Good,H,SI1,63.7,57.0,5.67,5.63,3.59,2150
25740,1.01,Very Good,J,SI1,63.0,58.0,6.38,6.42,4.02,3996
2253,0.7,Very Good,D,SI1,61.6,59.0,5.63,5.65,3.47,2731
2610,0.55,Very Good,F,VVS2,60.9,56.0,5.29,5.32,3.23,1902
6095,0.57,Ideal,F,VS2,61.8,55.0,5.33,5.31,3.29,2333
1829,0.54,Ideal,G,VS2,62.4,54.0,5.21,5.18,3.24,1660
25269,0.68,Very Good,F,VVS2,62.1,56.0,5.63,5.66,3.51,2879
5559,0.58,Very Good,G,VVS1,60.5,57.0,5.41,5.42,3.27,2077
9129,0.32,Ideal,F,VVS1,61.9,56.0,4.38,4.41,2.72,867
21025,0.32,Ideal,I,IF,61.9,56.0,4.4,4.35,2.71,1080
10080,0.32,Ideal,I,SI1,61.8,57.0,4.38,4.36,2.71,572
5635,0.27,Very Good,E,VS1,61.5,56.0,4.14,4.17,2.55,436
6055,0.5,Ideal,G,VS2,61.3,55.0,5.11,5.14,3.15,1698
11089,0.72,Premium,E,SI2,61.1,58.0,5.76,5.74,3.51,2163
9138,0.32,Premium,D,SI1,61.8,58.0,4.43,4.35,2.71,756
13005,1.18,Ideal,F,VVS2,60.8,58.0,6.85,6.89,4.18,10814
28506,0.87,Premium,E,VS2,59.9,60.0,6.16,6.2,3.69,3663
12060,0.45,Very Good,F,VVS2,61.7,59.0,4.91,4.95,3.04,1574
2015,1.0,Premium,I,SI1,62.4,61.0,6.23,6.16,3.88,3617
8782,1.26,Ideal,I,SI1,62.6,57.0,6.89,6.91,4.32,5976
28845,0.3,Premium,G,VVS2,61.2,58.0,4.34,4.29,2.64,878
14307,1.5,Very Good,I,SI2,62.9,59.0,7.31,7.27,4.58,6321
15649,0.51,Ideal,F,VS1,61.5,54.0,5.14,5.17,3.17,1720
10222,1.51,Premium,G,VS1,62.2,56.0,7.28,7.3,4.54,12698
11863,1.53,Premium,H,VS2,61.5,58.0,7.43,7.31,4.53,10728
4832,0.73,Very Good,D,SI1,60.8,59.0,5.8,5.84,3.54,3345
4759,0.5,Ideal,E,SI1,60.0,56.0,5.13,5.16,3.09,1377
4619,1.01,Premium,H,SI2,62.3,61.0,6.42,6.37,3.98,3724
15849,0.31,Ideal,D,SI1,61.8,56.0,4.32,4.35,2.68,571
28149,0.24,Ideal,D,VVS1,61.8,55.0,4.02,4.03,2.48,552
30650,1.59,Premium,E,VS2,62.4,58.0,7.44,7.51,4.66,14759
21236,2.01,Very Good,E,SI2,60.3,58.0,8.07,8.15,4.89,10851
15003,0.31,Premium,J,SI1,61.9,58.0,4.33,4.37,2.69,517
20799,1.03,Ideal,G,VS2,62.3,56.0,6.48,6.45,4.03,6330
28207,0.24,Very Good,E,VS2,61.3,60.0,3.96,3.98,2.44,373
15622,0.73,Very Good,E,VS2,60.1,60.0,5.8,5.85,3.51,2978
27523,1.01,Premium,F,SI2,59.1,61.0,6.42,6.46,3.81,3754
14275,1.01,Ideal,I,SI2,62.7,56.0,6.41,6.43,4.02,3786
19390,0.3,Very Good,F,VS2,61.5,60.0,4.25,4.31,2.63,605
9139,1.09,Good,E,SI2,63.2,58.0,6.47,6.51,4.11,4630
12341,0.33,Ideal,H,VS2,61.8,55.0,4.48,4.45,2.77,668
1872,0.52,Very Good,E,VS2,62.8,57.0,5.13,5.16,3.23,1689
22901,1.12,Premium,G,VVS2,61.1,56.0,6.69,6.73,4.1,9106
21331,0.3,Ideal,I,VVS1,63.0,57.0,4.31,4.33,2.71,524
11807,1.02,Ideal,H,SI1,62.0,57.0,6.41,6.44,3.98,4836
27864,1.03,Premium,I,VS2,62.0,58.0,6.51,6.46,4.02,5426
18092,0.71,Ideal,I,VS1,61.8,54.0,5.78,5.74,3.57,2841
20893,0.3,Premium,D,SI1,62.2,60.0,4.24,4.27,2.65,552
14200,0.91,Premium,F,SI2,62.5,58.0,6.16,6.21,3.86,3933
